????	????	????	????	????
1	沙滩皮肤	#000000	??????	范例1 第1关 / 【题型说明】填空题 / default
1	沙滩皮肤	#ffffff	??????	范例1 第1关 / 【可修改】文本-题干文本 / default
1	沙滩皮肤	#b15f2b	??????	范例1 第1关 / 【勿动】简易数字键盘 / number-button-normal
1	沙滩皮肤	#bcbcbc	??????	范例1 第1关 / 【勿动】简易数字键盘 / number-button-disabled
1	沙滩皮肤	#a84e13	??????	范例1 第1关 / 【可修改】输入框1 / answering
2	图纸皮肤	#000000	??????	范例1 第2关 / 【题型说明】填空题 / default
2	图纸皮肤	#b85304	??????	范例1 第2关 / 【可修改】文本-题干 / default
2	图纸皮肤	#ffffff	??????	范例1 第2关 / 【可修改】输入框1 / answering
2	图纸皮肤	#b15f2b	??????	范例1 第2关 / 【勿动】简易数字键盘 / number-button-normal
2	图纸皮肤	#bcbcbc	??????	范例1 第2关 / 【勿动】简易数字键盘 / number-button-disabled
2	图纸皮肤	#914cff	??????	范例2 第1关 / 【勿动】简易数字键盘 / number-button-normal
3	紫色星空皮肤	#000000	??????	范例2 第9关 / 【题型说明】拖拽题 / default
3	紫色星空皮肤	#b85304	??????	范例2 第9关 / 【可修改】拖拽物品1 / default
3	紫色星空皮肤	#ffffff	??????	范例2 第9关 / 【可修改】文本-题干 / default
3	紫色星空皮肤	#914cff	??????	范例2 第10关 / 【勿动】简易数字键盘 / number-button-normal
3	紫色星空皮肤	#8840f5	??????	范例2 第10关 / 【可修改】输入框1 / answering
3	紫色星空皮肤	#8841f5	??????	范例2 第10关 / 【可修改】文本-辅助文字1 / default
